-,60,_
9118,Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1151,force_strike:1070,skill_1:2314,skill_2:0,skill_3:483,team_buff:0,s1_s2boost:1737,s1_hit2:124,s1_hit3:124,s1_hit4:124,s1_hit5:124,s1_hit6:124,fs_alt:416,fs_paralysis:1319
5933,_c_Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1440,force_strike:710,skill_1:1962,skill_2:0,skill_3:763,team_buff:0,s1_s2boost:869,s1_hit2:62,s1_hit3:62,s1_hit4:62
-,60,k
10030,Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1266,force_strike:1177,skill_1:2545,skill_2:0,skill_3:532,team_buff:0,s1_s2boost:1911,s1_hit2:137,s1_hit3:137,s1_hit4:137,s1_hit5:137,s1_hit6:137,fs_alt:458,fs_paralysis:1451
6527,_c_Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1584,force_strike:781,skill_1:2158,skill_2:0,skill_3:840,team_buff:0,s1_s2boost:956,s1_hit2:68,s1_hit3:68,s1_hit4:68
-,60,r
9892,Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1151,force_strike:1070,skill_1:2661,skill_2:0,skill_3:556,team_buff:0,s1_s2boost:1998,s1_hit2:143,s1_hit3:143,s1_hit4:143,s1_hit5:143,s1_hit6:143,fs_alt:416,fs_paralysis:1319
6501,_c_Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1440,force_strike:710,skill_1:2256,skill_2:0,skill_3:878,team_buff:0,s1_s2boost:999,s1_hit2:71,s1_hit3:71,s1_hit4:71
-,60,kr
10881,Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1266,force_strike:1177,skill_1:2927,skill_2:0,skill_3:612,team_buff:0,s1_s2boost:2198,s1_hit2:157,s1_hit3:157,s1_hit4:157,s1_hit5:157,s1_hit6:157,fs_alt:458,fs_paralysis:1451
7151,_c_Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1584,force_strike:781,skill_1:2482,skill_2:0,skill_3:966,team_buff:0,s1_s2boost:1099,s1_hit2:78,s1_hit3:78,s1_hit4:78
-,60,d
9747,Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1231,force_strike:1144,skill_1:2473,skill_2:0,skill_3:517,team_buff:0,s1_s2boost:1857,s1_hit2:133,s1_hit3:133,s1_hit4:133,s1_hit5:133,s1_hit6:133,fs_alt:445,fs_paralysis:1410
6343,_c_Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1539,force_strike:759,skill_1:2097,skill_2:0,skill_3:816,team_buff:0,s1_s2boost:929,s1_hit2:66,s1_hit3:66,s1_hit4:66
-,60,kd
10722,Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1354,force_strike:1258,skill_1:2721,skill_2:0,skill_3:569,team_buff:0,s1_s2boost:2043,s1_hit2:146,s1_hit3:146,s1_hit4:146,s1_hit5:146,s1_hit6:146,fs_alt:489,fs_paralysis:1551
6977,_c_Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1693,force_strike:835,skill_1:2307,skill_2:0,skill_3:898,team_buff:0,s1_s2boost:1022,s1_hit2:73,s1_hit3:73,s1_hit4:73
-,60,b
9626,Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1156,force_strike:948,skill_1:2589,skill_2:0,skill_3:477,team_buff:0,s1_s2boost:2143,s1_hit2:153,s1_hit3:153,s1_hit4:153,s1_hit5:153,s1_hit6:153,fs_alt:359,fs_paralysis:1180
6597,_c_Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1436,force_strike:556,skill_1:2264,skill_2:0,skill_3:761,team_buff:0,s1_s2boost:1299,s1_hit2:93,s1_hit3:93,s1_hit4:93
-,60,kb
10589,Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1272,force_strike:1043,skill_1:2848,skill_2:0,skill_3:525,team_buff:0,s1_s2boost:2358,s1_hit2:169,s1_hit3:169,s1_hit4:169,s1_hit5:169,s1_hit6:169,fs_alt:395,fs_paralysis:1298
7257,_c_Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1580,force_strike:612,skill_1:2491,skill_2:0,skill_3:837,team_buff:0,s1_s2boost:1429,s1_hit2:102,s1_hit3:102,s1_hit4:102
-,60,rd
10575,Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1231,force_strike:1144,skill_1:2844,skill_2:0,skill_3:594,team_buff:0,s1_s2boost:2136,s1_hit2:153,s1_hit3:153,s1_hit4:153,s1_hit5:153,s1_hit6:153,fs_alt:445,fs_paralysis:1410
6949,_c_Albert,5*,light,sword,5341,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<big hitbox & 0 resist & 4s1 in on s2>,suitable skill prep; don't use s3 in s2,attack:1539,force_strike:759,skill_1:2412,skill_2:0,skill_3:939,team_buff:0,s1_s2boost:1068,s1_hit2:76,s1_hit3:76,s1_hit4:76
-,60,krd
