-,sp,_
12379,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3587,force_strike:502,skill_1:0,skill_2:0,skill_3:0,team_buff:8289
12115,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3355,force_strike:469,skill_1:0,skill_2:0,skill_3:0,team_buff:8289
-,sp,k
13617,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3946,force_strike:552,skill_1:0,skill_2:0,skill_3:0,team_buff:9118
13327,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3691,force_strike:516,skill_1:0,skill_2:0,skill_3:0,team_buff:9118
-,sp,r
13042,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3587,force_strike:502,skill_1:0,skill_2:0,skill_3:0,team_buff:8953
12778,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3355,force_strike:469,skill_1:0,skill_2:0,skill_3:0,team_buff:8953
-,sp,kr
14347,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3946,force_strike:552,skill_1:0,skill_2:0,skill_3:0,team_buff:9848
14056,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3691,force_strike:516,skill_1:0,skill_2:0,skill_3:0,team_buff:9848
-,sp,d
13207,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3804,force_strike:532,skill_1:0,skill_2:0,skill_3:0,team_buff:8870
12928,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3559,force_strike:498,skill_1:0,skill_2:0,skill_3:0,team_buff:8870
-,sp,kd
14528,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4185,force_strike:586,skill_1:0,skill_2:0,skill_3:0,team_buff:9757
14220,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3915,force_strike:548,skill_1:0,skill_2:0,skill_3:0,team_buff:9757
-,sp,b
13558,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4037,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:9520
13297,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3777,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:9520
-,sp,kb
14914,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4441,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:10472
14627,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4155,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:10472
-,sp,rd
13917,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3804,force_strike:532,skill_1:0,skill_2:0,skill_3:0,team_buff:9579
13637,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3559,force_strike:498,skill_1:0,skill_2:0,skill_3:0,team_buff:9579
-,sp,krd
15309,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4185,force_strike:586,skill_1:0,skill_2:0,skill_3:0,team_buff:10537
15001,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3915,force_strike:548,skill_1:0,skill_2:0,skill_3:0,team_buff:10537
-,sp,rb
14320,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4037,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:10282
14059,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:3777,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:10282
-,sp,krb
15752,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4441,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:11310
15465,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4155,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:11310
-,sp,db
14469,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4282,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:10187
14193,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4006,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:10187
-,sp,kdb
15916,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4711,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:11205
15612,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4407,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:11205
-,sp,rdb
15284,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4282,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:11001
15008,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4006,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:11001
-,sp,krdb
16813,Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4711,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:12102
16509,_c_Elisanne,4*,water,lance,5499,[Beach_Battle+Jewels_of_the_Sun][Dragonyule_Jeanne],!<hp70>,Dragonyule Jeanne; no s2 or s3,attack:4407,force_strike:0,skill_1:0,skill_2:0,skill_3:0,team_buff:12102
