-,60,_
9888,G_Euden,5*,light,sword,5969,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<shapeshift at 30s & 0 resist & s1 buff for 10s & get DC at start>,c2+fs; 22% paralysis uptime,attack:1692,force_strike:1735,skill_1:1059,skill_2:956,skill_3:1018,team_buff:3278,s2_paralysis:147
5677,_c_G_Euden,5*,light,sword,5969,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<shapeshift at 30s & 0 resist & s1 buff for 10s & get DC at start>,c2+fs; ,attack:1308,force_strike:1353,skill_1:881,skill_2:729,skill_3:813,team_buff:590,s2_paralysis:0
-,60,k
10877,G_Euden,5*,light,sword,5969,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<shapeshift at 30s & 0 resist & s1 buff for 10s & get DC at start>,c2+fs; 22% paralysis uptime,attack:1861,force_strike:1908,skill_1:1165,skill_2:1051,skill_3:1120,team_buff:3606,s2_paralysis:162
6245,_c_G_Euden,5*,light,sword,5969,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<shapeshift at 30s & 0 resist & s1 buff for 10s & get DC at start>,c2+fs; ,attack:1439,force_strike:1489,skill_1:970,skill_2:802,skill_3:895,team_buff:649,s2_paralysis:0
-,60,r
10627,G_Euden,5*,light,sword,5969,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<shapeshift at 30s & 0 resist & s1 buff for 10s & get DC at start>,c2+fs; 22% paralysis uptime,attack:1692,force_strike:1735,skill_1:1218,skill_2:1099,skill_3:1171,team_buff:3540,s2_paralysis:170
6088,_c_G_Euden,5*,light,sword,5969,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<shapeshift at 30s & 0 resist & s1 buff for 10s & get DC at start>,c2+fs; ,attack:1308,force_strike:1353,skill_1:1014,skill_2:838,skill_3:935,team_buff:637,s2_paralysis:0
-,60,kr
11690,G_Euden,5*,light,sword,5969,[The_Shining_Overlord+Sisters_Day_Out][Cupid],<shapeshift at 30s & 0 resist & s1 buff for 10s & get DC at start>,c2+fs; 22% paralysis uptime,attack:1861,force_strike:1908,skill_1:1340,skill_2:1209,skill_3:1288,team_buff:3894,s2_paralysis:187
6697,_c_G_Euden,5*,light,sword,5969,[The_Shining_Overlord+Sisters_Day_Out][Cupid],!<shapeshift at 30s & 0 resist & s1 buff for 10s & get DC at start>,c2+fs; ,attack:1439,force_strike:1489,skill_1:1115,skill_2:922,skill_3:1029,team_buff:701,s2_paralysis:0
-,60,d
