-,sp,_
8538,G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1256,force_strike:190,skill_1:2577,skill_2:1098,skill_3:520,team_buff:0,d_ss:56,d_atk:1550,d_skl:879,s2_boost:409
7300,_c_G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],!<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1074,force_strike:163,skill_1:2203,skill_2:938,skill_3:445,team_buff:0,d_ss:48,d_atk:1325,d_skl:751,s2_boost:350
-,sp,k
9392,G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1381,force_strike:209,skill_1:2834,skill_2:1207,skill_3:572,team_buff:0,d_ss:61,d_atk:1705,d_skl:967,s2_boost:450
8030,_c_G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],!<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1181,force_strike:179,skill_1:2423,skill_2:1032,skill_3:489,team_buff:0,d_ss:53,d_atk:1458,d_skl:827,s2_boost:385
-,sp,r
9361,G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1256,force_strike:190,skill_1:2963,skill_2:1262,skill_3:598,team_buff:0,d_ss:56,d_atk:1550,d_skl:1011,s2_boost:470
8004,_c_G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],!<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1074,force_strike:163,skill_1:2533,skill_2:1079,skill_3:511,team_buff:0,d_ss:48,d_atk:1325,d_skl:864,s2_boost:402
-,sp,kr
10297,G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1381,force_strike:209,skill_1:3259,skill_2:1389,skill_3:658,team_buff:0,d_ss:61,d_atk:1705,d_skl:1112,s2_boost:517
8804,_c_G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],!<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1181,force_strike:179,skill_1:2787,skill_2:1187,skill_3:563,team_buff:0,d_ss:53,d_atk:1458,d_skl:951,s2_boost:442
-,sp,d
9097,G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1338,force_strike:203,skill_1:2745,skill_2:1170,skill_3:554,team_buff:0,d_ss:60,d_atk:1651,d_skl:937,s2_boost:436
7804,_c_G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],!<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1148,force_strike:174,skill_1:2355,skill_2:1003,skill_3:475,team_buff:0,d_ss:51,d_atk:1417,d_skl:803,s2_boost:374
-,sp,kd
10006,G_Mym,5*,flame,lance,4729,[Resounding_Rendition+Crystalian_Envoy][Sakuya],<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:1472,force_strike:223,skill_1:3020,skill_2:1287,skill_3:610,team_buff:0,d_ss:66,d_atk:1816,d_skl:1030,s2_boost:479
