-,sp,_
7686,Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1915,skill_1:4077,skill_2:0,skill_3:1228,team_buff:465
6041,_c_Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],!<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1604,skill_1:3413,skill_2:0,skill_3:1023,team_buff:0
-,sp,k
8455,Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:2106,skill_1:4485,skill_2:0,skill_3:1351,team_buff:512
6646,_c_Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],!<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1765,skill_1:3754,skill_2:0,skill_3:1126,team_buff:0
-,sp,r
8519,Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1915,skill_1:4689,skill_2:0,skill_3:1412,team_buff:502
6707,_c_Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],!<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1604,skill_1:3925,skill_2:0,skill_3:1177,team_buff:0
-,sp,kr
9371,Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:2106,skill_1:5158,skill_2:0,skill_3:1554,team_buff:552
7378,_c_Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],!<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1765,skill_1:4317,skill_2:0,skill_3:1295,team_buff:0
-,sp,d
8581,Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:2141,skill_1:4551,skill_2:0,skill_3:1390,team_buff:498
6762,_c_Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],!<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1794,skill_1:3809,skill_2:0,skill_3:1158,team_buff:0
-,sp,kd
9439,Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:2355,skill_1:5006,skill_2:0,skill_3:1529,team_buff:547
7438,_c_Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],!<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1973,skill_1:4190,skill_2:0,skill_3:1274,team_buff:0
-,sp,b
7686,Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1915,skill_1:4077,skill_2:0,skill_3:1228,team_buff:465
6041,_c_Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],!<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1604,skill_1:3413,skill_2:0,skill_3:1023,team_buff:0
-,sp,kb
8455,Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:2106,skill_1:4485,skill_2:0,skill_3:1351,team_buff:512
6646,_c_Laranoa,5*,water,bow,3650,[Forest_Bonds+Dear_Diary][Siren][HDT2],!<buff all team & RO proc at 0s 60s 120s>,doesn't count spbuff for teammates; roll fs,attack:0,force_strike:1765,skill_1:3754,skill_2:0,skill_3:1126,team_buff:0
-,sp,rd
