-,sp,_
7446,Linyou,5*,wind,axe,4067,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:2147,force_strike:0,skill_1:3153,skill_2:0,skill_3:1181,team_buff:0,s1_powerup:963
6325,_c_Linyou,5*,wind,axe,4067,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1824,force_strike:0,skill_1:2679,skill_2:0,skill_3:1003,team_buff:0,s1_powerup:818
-,sp,k
8191,Linyou,5*,wind,axe,4067,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:2362,force_strike:0,skill_1:3469,skill_2:0,skill_3:1299,team_buff:0,s1_powerup:1060
6957,_c_Linyou,5*,wind,axe,4067,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:2006,force_strike:0,skill_1:2946,skill_2:0,skill_3:1103,team_buff:0,s1_powerup:900
-,sp,r
8241,Linyou,5*,wind,axe,4067,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:2147,force_strike:0,skill_1:3626,skill_2:0,skill_3:1358,team_buff:0,s1_powerup:1108
7000,_c_Linyou,5*,wind,axe,4067,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1824,force_strike:0,skill_1:3080,skill_2:0,skill_3:1153,team_buff:0,s1_powerup:941
-,sp,kr
9065,Linyou,5*,wind,axe,4067,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:2362,force_strike:0,skill_1:3989,skill_2:0,skill_3:1494,team_buff:0,s1_powerup:1219
7700,_c_Linyou,5*,wind,axe,4067,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:2006,force_strike:0,skill_1:3389,skill_2:0,skill_3:1269,team_buff:0,s1_powerup:1035
-,sp,d
7882,Linyou,5*,wind,axe,4067,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:2273,force_strike:0,skill_1:3338,skill_2:0,skill_3:1250,team_buff:0,s1_powerup:1020
