-,sp,_
13367,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1757,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:565,x_bleed:3812,x_s2:7232
9910,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1291,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:423,x_bleed:2895,x_s2:5300
-,sp,k
14703,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1932,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:622,x_bleed:4193,x_s2:7955
10901,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1420,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:465,x_bleed:3185,x_s2:5830
-,sp,r
13367,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1757,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:565,x_bleed:3812,x_s2:7232
9910,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1291,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:423,x_bleed:2895,x_s2:5300
-,sp,kr
14703,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1932,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:622,x_bleed:4193,x_s2:7955
10901,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1420,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:465,x_bleed:3185,x_s2:5830
-,sp,d
14232,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1870,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:602,x_bleed:4060,x_s2:7699
10594,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1380,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:452,x_bleed:3095,x_s2:5666
-,sp,kd
15655,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:2057,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:662,x_bleed:4466,x_s2:8469
11654,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1518,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:497,x_bleed:3405,x_s2:6233
-,sp,rd
14232,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1870,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:602,x_bleed:4060,x_s2:7699
10594,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1380,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:452,x_bleed:3095,x_s2:5666
-,sp,krd
15655,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:2057,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:662,x_bleed:4466,x_s2:8469
11654,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1518,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:497,x_bleed:3405,x_s2:6233
-,sp,b
13367,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1757,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:565,x_bleed:3812,x_s2:7232
9910,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1291,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:423,x_bleed:2895,x_s2:5300
-,sp,kb
14703,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1932,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:622,x_bleed:4193,x_s2:7955
10901,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1420,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:465,x_bleed:3185,x_s2:5830
-,sp,rb
13367,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1757,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:565,x_bleed:3812,x_s2:7232
9910,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1291,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:423,x_bleed:2895,x_s2:5300
-,sp,krb
14703,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1932,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:622,x_bleed:4193,x_s2:7955
10901,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1420,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:465,x_bleed:3185,x_s2:5830
-,sp,db
14232,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1870,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:602,x_bleed:4060,x_s2:7699
10594,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 32 hits leaf shield (Fafnir Roy III sized enemy),attack:0,force_strike:1380,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:452,x_bleed:3095,x_s2:5666
-,sp,kdb
