-,60,_
9292,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1329,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:355,x_bleed:3336,x_s2:4271
7292,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1013,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:293,x_bleed:2746,x_s2:3240
-,60,k
10221,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1462,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:391,x_bleed:3669,x_s2:4698
8021,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1114,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:322,x_bleed:3020,x_s2:3564
-,60,r
9292,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1329,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:355,x_bleed:3336,x_s2:4271
7292,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1013,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:293,x_bleed:2746,x_s2:3240
-,60,kr
10221,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1462,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:391,x_bleed:3669,x_s2:4698
8021,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1114,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:322,x_bleed:3020,x_s2:3564
-,60,d
9898,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1415,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:379,x_bleed:3557,x_s2:4546
7796,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1082,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:313,x_bleed:2935,x_s2:3463
-,60,kd
10888,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1556,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:417,x_bleed:3913,x_s2:5001
8575,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1191,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:344,x_bleed:3229,x_s2:3810
-,60,rd
9898,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1415,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:379,x_bleed:3557,x_s2:4546
7796,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1082,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:313,x_bleed:2935,x_s2:3463
-,60,krd
10888,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1556,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:417,x_bleed:3913,x_s2:5001
8575,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1191,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:344,x_bleed:3229,x_s2:3810
-,60,b
9292,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1329,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:355,x_bleed:3336,x_s2:4271
7292,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1013,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:293,x_bleed:2746,x_s2:3240
-,60,kb
10221,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1462,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:391,x_bleed:3669,x_s2:4698
8021,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1114,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:322,x_bleed:3020,x_s2:3564
-,60,rb
9292,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1329,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:355,x_bleed:3336,x_s2:4271
7292,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1013,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:293,x_bleed:2746,x_s2:3240
-,60,krb
10221,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1462,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:391,x_bleed:3669,x_s2:4698
8021,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1114,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:322,x_bleed:3020,x_s2:3564
-,60,db
9898,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1415,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:379,x_bleed:3557,x_s2:4546
7796,_c_Mega_Man,5*,flame,wand,6404.77825,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1082,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:313,x_bleed:2935,x_s2:3463
-,60,kdb
10888,Mega_Man,5*,flame,wand,7045.256075000001,[Primal_Crisis+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 90s & hit15>,rollfs; means bleed; 16 hits leaf shield (HMS sized enemy),attack:0,force_strike:1556,skill_1:0,skill_2:0,skill_3:0,team_buff:0,x_s1:417,x_bleed:3913,x_s2:5001
